,Id,Last Update,Total Videos,GMV,F_Score,M_Score,R_Score,RFM,RFM Segment,K_means Clusters,DB Clusters,DB_Segmentation
0,C1,2,3,600.0000121593467,4,3,1,143,Others,0,0,2
1,C2,1,7,6939.00005722045,3,2,1,132,Others,0,1,3
2,C3,1,71,367.999989517033,2,3,1,123,Others,0,0,2
3,C4,1,7,11158.999636888486,3,2,1,132,Others,0,2,3
4,C5,3,10,8002.000089589501,3,2,2,232,Others,0,-1,1
5,C6,1,4,5401.999877873801,4,2,1,142,HSN Creator,0,3,3
6,C7,1,18,4330.160041213033,2,2,1,122,P Creators,0,0,2
7,C8,3,3,2.999999916180966,4,4,2,244,Others,0,0,2
8,C9,1,281,2606161.1750466,1,1,1,111,B Creator,3,-1,1
9,C10,1,9,532.0099809989333,3,3,1,133,Others,0,0,2
10,C11,5,5,10500.0101318359,4,2,3,342,Others,0,1,3
11,C12,1,40,1259.039967587216,2,3,1,123,Others,0,0,2
12,C13,1,42,43.009998807683466,2,4,1,124,Others,0,0,2
13,C14,1,5,14.00000012665984,4,4,1,144,Others,0,0,2
14,C15,1,517,1312875.1777606541,1,1,1,111,B Creator,0,-1,1
15,C16,1,31,37512.06085802613,2,1,1,121,P Creators,0,0,2
16,C17,11,15,1484.99998569488,3,3,4,433,Others,0,-1,1
17,C18,2,4,150.99999925680441,4,3,1,143,Others,0,0,2
18,C19,1,62,68.0599981546401,2,4,1,124,Others,0,0,2
19,C20,1,3,1604.0200380533906,4,3,1,143,Others,0,1,3
20,C21,3,5,4298.00010299682,4,2,2,242,Others,0,0,2
21,C22,1,29,22908.000009059855,2,2,1,122,P Creators,0,0,2
22,C23,1,7640,3924930.244763893,1,1,1,111,B Creator,4,-1,1
23,C24,1,44,19852.010386191214,2,2,1,122,P Creators,0,0,2
24,C25,1,7,14.06999967247245,3,4,1,134,Others,0,0,2
25,C26,1,1120,5164275.74068183,1,1,1,111,B Creator,1,-1,1
26,C27,2,3,5002.029866896551,4,2,1,142,HSN Creator,0,-1,1
27,C28,1,12,1958.039959646757,3,3,1,133,Others,0,0,2
28,C29,1,411,91495.04260952948,1,1,1,111,B Creator,0,-1,1
29,C30,1,21,17200.9998421687,2,2,1,122,P Creators,0,0,2
30,C31,1,42,41.99999882653352,2,4,1,124,Others,0,0,2
31,C32,1,11,66.04999974556263,3,4,1,134,Others,0,0,2
32,C33,1,6,27.00999978929754,4,4,1,144,Others,0,0,2
33,C34,1,9,11.019999710842951,3,4,1,134,Others,0,0,2
34,C35,1,101,50573.04904635222,1,1,1,111,B Creator,0,-1,1
35,C36,1,4,8.03999981284141,4,4,1,144,Others,0,0,2
36,C37,1,535,315162.0404862496,1,1,1,111,B Creator,3,-1,1
37,C38,1,8,809.0199845079327,3,3,1,133,Others,0,0,2
38,C39,7,6,75.0000025331973,4,4,3,344,Others,0,0,2
39,C40,1,17,977.0400011986483,3,3,1,133,Others,0,0,2
40,C41,1,2001,173456.04815726707,1,1,1,111,B Creator,0,-1,1
41,C42,1,1352,1121992.0090401445,1,1,1,111,B Creator,3,-1,1
42,C43,1,26,52.2599987834692,2,4,1,124,Others,0,0,2
43,C44,1,13,398.03999951481745,3,3,1,133,Others,0,0,2
44,C45,1,3,4.009999897330994,4,4,1,144,Others,0,0,2
45,C46,1,20,314.0299895778295,2,3,1,123,Others,0,0,2
46,C47,1,51,22146.160247206586,2,2,1,122,P Creators,0,0,2
47,C48,1,45,16721.00030943936,2,2,1,122,P Creators,0,0,2
48,C49,1,130,30343.030333809347,1,2,1,112,P Creators,0,0,2
49,C50,1,3,6.02999985963106,4,4,1,144,Others,0,0,2
50,C51,1,585,465463.9876222941,1,1,1,111,B Creator,0,-1,1
51,C52,1,11,1218.0000116676088,3,3,1,133,Others,0,0,2
52,C53,9,3,250.0000056028363,4,3,4,443,Others,0,0,2
53,C54,1,164,5353.89005184173,1,2,1,112,P Creators,0,0,2
54,C55,1,54,14076.10013771056,2,2,1,122,P Creators,0,-1,1
55,C56,2,18,1406.029998786746,2,3,1,123,Others,0,0,2
56,C57,4,3,600.0,4,3,2,243,Others,0,0,2
57,C58,1,4,297.0100013557817,4,3,1,143,Others,0,0,2
58,C59,1,137,373850.04426622356,1,1,1,111,B Creator,3,-1,1
59,C60,1,19,13881.9998636245,2,2,1,122,P Creators,0,0,2
60,C61,1,21,42.209999017417346,2,4,1,124,Others,0,0,2
61,C62,1,7,310.05000453442307,3,3,1,133,Others,0,0,2
62,C63,1,14,226.00000090524512,3,3,1,133,Others,0,0,2
63,C64,1,8,9.009999757632613,3,4,1,134,Others,0,0,2
64,C65,1,11,525.0100078210235,3,3,1,133,Others,0,0,2
65,C66,1,15,5344.010099254539,3,2,1,132,Others,0,0,2
66,C67,1,3,14.02000014483925,4,4,1,144,Others,0,0,2
67,C68,1,3,254.0200070589777,4,3,1,143,Others,0,0,2
68,C69,1,801,30374.15069907529,1,2,1,112,P Creators,0,-1,1
69,C70,1,12,11.99999966472386,3,4,1,134,Others,0,0,2
70,C71,1,4,8.03999981284141,4,4,1,144,Others,0,0,2
71,C72,1,59,122762.01866313051,2,1,1,121,P Creators,3,-1,1
72,C73,1,88,19746.130150072255,1,2,1,112,P Creators,0,0,2
73,C74,1,3,6.02999985963106,4,4,1,144,Others,0,0,2
74,C75,1,15,11552.069754825898,3,2,1,132,Others,0,-1,1
75,C76,1,11,58003.99945057172,3,1,1,131,Others,0,-1,1
76,C77,1,3,52.010000519454344,4,4,1,144,Others,0,0,2
77,C78,2,6,23.01999992132183,4,4,1,144,Others,0,0,2
78,C79,1,32,456.05999946780355,2,3,1,123,Others,0,0,2
79,C80,1,34,240608.0591977534,2,1,1,121,P Creators,3,-1,1
80,C81,1,162,8581.999798152574,1,2,1,112,P Creators,0,-1,1
81,C82,1,6,201.03000695258365,4,3,1,143,Others,0,0,2
82,C83,1,3,6.029999859631049,4,4,1,144,Others,0,0,2
83,C84,1,4,2002.01999990642,4,3,1,143,Others,0,0,2
84,C85,1,13,458.9999965857701,3,3,1,133,Others,0,0,2
85,C86,1,39,2043.9999625682724,2,3,1,123,Others,0,0,2
86,C87,1,85,3959.1801042165557,2,2,1,122,P Creators,0,0,2
87,C88,1,6,208.0200003832567,4,3,1,143,Others,0,0,2
88,C89,1,206,50922.06070746467,1,1,1,111,B Creator,0,-1,1
89,C90,2,31,226.99999795854012,2,3,1,123,Others,0,0,2
90,C91,1,3,12.00999993830918,4,4,1,144,Others,0,0,2
91,C92,4,12,17988.00004577628,3,2,2,232,Others,0,-1,1
92,C93,1,18,4428.010137520727,2,2,1,122,P Creators,0,-1,1
93,C94,1,5,9.039999784901733,4,4,1,144,Others,0,0,2
94,C95,3,3,400.000001907348,4,3,2,243,Others,0,0,2
95,C96,1,37,9530.150150932363,2,2,1,122,P Creators,0,0,2
96,C97,1,85,5762.360158830879,2,2,1,122,P Creators,0,0,2
97,C98,1,3,6.02999985963106,4,4,1,144,Others,0,0,2
98,C99,1,202,185643.01182510468,1,1,1,111,B Creator,0,-1,1
99,C100,1,383,627508.0062083553,1,1,1,111,B Creator,0,-1,1
100,C101,1,9,304.0000017397099,3,3,1,133,Others,0,0,2
101,C102,5,3,2.999999916180962,4,4,3,344,Others,0,0,2
102,C103,2,4,2450.0000553131,4,2,1,142,HSN Creator,0,0,2
103,C104,1,5,19.0200002640485,4,4,1,144,Others,0,0,2
104,C105,2,18,7998.000257492058,2,2,1,122,P Creators,0,-1,1
105,C106,2,3,6.02999985963106,4,4,1,144,Others,0,0,2
106,C107,1,36,283.030007250606,2,3,1,123,Others,0,0,2
107,C108,1,7,1206.030018933116,3,3,1,133,Others,0,0,2
108,C109,1,33,15700.00037860863,2,2,1,122,P Creators,0,-1,1
109,C110,1,9,18.0899995788931,3,4,1,134,Others,0,0,2
110,C111,1,16,6385.009834766377,3,2,1,132,Others,0,0,2
111,C112,1,4,5999.000167846663,4,2,1,142,HSN Creator,0,-1,1
112,C113,1,17,179991.0040893554,3,1,1,131,Others,3,-1,1
113,C114,1,10,3000.00004768371,3,2,1,132,Others,0,0,2
114,C115,1,14,92.0600016266106,3,4,1,134,Others,0,0,2
115,C116,1,3,504.0200142115347,4,3,1,143,Others,0,0,2
116,C117,1,9,51.0799977779388,3,4,1,134,Others,0,0,2
117,C118,1,3,6.02999985963106,4,4,1,144,Others,0,0,2
118,C119,1,3,158.0200065821407,4,3,1,143,Others,0,0,2
119,C120,1,665,1834010.4844003804,1,1,1,111,B Creator,3,-1,1
120,C121,1,2527,50953.000353112664,1,1,1,111,B Creator,0,-1,1
121,C122,1,6,60.000001430511304,4,4,1,144,Others,0,0,2
122,C123,1,3,6.029999859631049,4,4,1,144,Others,0,0,2
123,C124,1,31,30.99999913387,2,4,1,124,Others,0,0,2
124,C125,1,371,700047.0858962683,1,1,1,111,B Creator,3,-1,1
125,C126,2,3,6.02999985963106,4,4,1,144,Others,0,0,2
126,C127,2,13,12249.999879360195,3,2,1,132,Others,0,-1,1
127,C128,1,285,979050.533488056,1,1,1,111,B Creator,3,-1,1
128,C129,1,6,1031.0000012852252,4,3,1,143,Others,0,0,2
129,C130,1,16,79500.04806518537,3,1,1,131,Others,3,-1,1
130,C131,1,18,2622.090019438411,2,2,1,122,P Creators,0,0,2
131,C132,2,50,21521.069835590177,2,2,1,122,P Creators,0,-1,1
132,C133,3,79,82.99999793991442,2,4,2,224,Others,0,0,2
133,C134,1,4466,8358156.347156177,1,1,1,111,B Creator,4,-1,1
134,C135,2,4,860.2200021147706,4,3,1,143,Others,0,0,2
135,C136,1,14,124.02000276744356,3,3,1,133,Others,0,0,2
136,C137,1,30,68148.26819276807,2,1,1,121,P Creators,0,3,3
137,C138,1,11,454.9999921470879,3,3,1,133,Others,0,0,2
138,C139,1,4,8.03999981284141,4,4,1,144,Others,0,0,2
139,C140,1,3,71.00999947637311,4,4,1,144,Others,0,0,2
140,C141,1,5,90.0000033080577,4,4,1,144,Others,0,0,2
141,C142,1,15,30.1499992981552,3,4,1,134,Others,0,0,2
142,C143,1,45,139195.00976320278,2,1,1,121,P Creators,0,-1,1
143,C144,1,6,12.05999971926205,4,4,1,144,Others,0,0,2
144,C145,1,3314,2713224.842027058,1,1,1,111,B Creator,1,-1,1
145,C146,1,491,84698.00017574968,1,1,1,111,B Creator,3,-1,1
146,C147,1,179,26743.00074081678,1,2,1,112,P Creators,0,-1,1
147,C148,1,40,5393.029998933885,2,2,1,122,P Creators,0,0,2
148,C149,1,755,22614.29083690968,1,2,1,112,P Creators,0,-1,1
149,C150,1,16,32.1599992513656,3,4,1,134,Others,0,0,2
150,C151,2,13,26.1299993917346,3,4,1,134,Others,0,0,2
151,C152,4,27,28898.999906973855,2,2,2,222,Others,0,-1,1
152,C153,2,15,4800.000145435325,3,2,1,132,Others,0,-1,1
153,C154,1,5,950.0000061988819,4,3,1,143,Others,0,0,2
154,C155,1,16,534.9999929666509,3,3,1,133,Others,0,0,2
155,C156,1,22,11878.000091552665,2,2,1,122,P Creators,0,-1,1
156,C157,1,4,462.0100075826044,4,3,1,143,Others,0,0,2
157,C158,2,4,249.9999958872794,4,3,1,143,Others,0,0,2
158,C159,1,76,63652.03198294316,2,1,1,121,P Creators,0,-1,1
159,C160,1,4,11.010000193491571,4,4,1,144,Others,0,0,2
160,C161,1,636,372931.0383861281,1,1,1,111,B Creator,0,-1,1
161,C162,1,116,16574.019890233856,1,2,1,112,P Creators,0,-1,1
162,C163,1,50,53.02999854646617,2,4,1,124,Others,0,0,2
